"state","placefp","county","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","State abbreviation","County name","Place name","Population (2010)","placefp to county allocation factor"
"40","20550","40147","OK","Washington OK","Dewey city, OK",3432,1 
"40","20650","40087","OK","McClain OK","Dibble town, OK",878,1 
"40","20700","40019","OK","Carter OK","Dickson town, OK",1207,1 
"40","20850","40149","OK","Washita OK","Dill City town, OK",562,1 
"40","20900","40097","OK","Mayes OK","Disney town, OK",311,1 
"40","21020","40041","OK","Delaware OK","Dodge CDP, OK",115,1 
"40","21150","40115","OK","Ottawa OK","Dotyville CDP, OK",101,1 
"40","21200","40099","OK","Murray OK","Dougherty town, OK",215,1 
"40","21250","40047","OK","Garfield OK","Douglas town, OK",32,1 
"40","21350","40073","OK","Kingfisher OK","Dover town, OK",464,1 
"40","21672","40041","OK","Delaware OK","Dripping Springs CDP, OK",50,1 
"40","21676","40041","OK","Delaware OK","Drowning Creek CDP, OK",155,1 
"40","21700","40047","OK","Garfield OK","Drummond town, OK",455,1 
"40","21750","40037","OK","Creek OK","Drumright city, OK",2842,0.9776 
"40","21750","40119","OK","Payne OK","Drumright city, OK",65,0.0224 
"40","21755","40021","OK","Cherokee OK","Dry Creek CDP, OK",227,1 
"40","21760","40091","OK","McIntosh OK","Duchess Landing CDP, OK",114,1 
"40","21900","40137","OK","Stephens OK","Duncan city, OK",23431,1 
"40","22050","40013","OK","Bryan OK","Durant city, OK",15856,1 
"40","22200","40063","OK","Hughes OK","Dustin town, OK",395,1 
"40","22275","40135","OK","Sequoyah OK","Dwight Mission CDP, OK",55,1 
"40","22350","40089","OK","McCurtain OK","Eagletown CDP, OK",528,1 
"40","22400","40015","OK","Caddo OK","Eakly town, OK",338,1 
"40","22500","40125","OK","Pottawatomie OK","Earlsboro town, OK",628,1 
"40","22550","40065","OK","Jackson OK","East Duke town, OK",424,1 
"40","23200","40109","OK","Oklahoma OK","Edmond city, OK",81405,1 
"40","23300","40021","OK","Cherokee OK","Eldon CDP, OK",368,1 
"40","23350","40065","OK","Jackson OK","Eldorado town, OK",446,1 
"40","23450","40031","OK","Comanche OK","Elgin city, OK",2156,1 
"40","23500","40009","OK","Beckham OK","Elk City city, OK",11693,1 
"40","23550","40065","OK","Jackson OK","Elmer town, OK",96,1 
"40","23575","40001","OK","Adair OK","Elm Grove CDP, OK",198,1 
"40","23600","40049","OK","Garvin OK","Elmore City town, OK",697,1 
"40","23700","40017","OK","Canadian OK","El Reno city, OK",16749,1 
"40","23900","40137","OK","Stephens OK","Empire City town, OK",955,1 
"40","23950","40047","OK","Garfield OK","Enid city, OK",49379,1 
"40","24200","40009","OK","Beckham OK","Erick city, OK",1052,1 
"40","24300","40049","OK","Garvin OK","Erin Springs town, OK",87,1 
"40","24460","40027","OK","Cleveland OK","Etowah town, OK",92,1 
"40","24650","40091","OK","McIntosh OK","Eufaula city, OK",2813,1 
"40","24762","40135","OK","Sequoyah OK","Evening Shade CDP, OK",359,1 
"40","24850","40113","OK","Osage OK","Fairfax town, OK",1380,1 
"40","24875","40001","OK","Adair OK","Fairfield CDP, OK",584,1 
"40","24900","40115","OK","Ottawa OK","Fairland town, OK",1057,1 
"40","24950","40047","OK","Garfield OK","Fairmont town, OK",134,1 
"40","25000","40145","OK","Wagoner OK","Fair Oaks town, OK",103,1 
"40","25100","40093","OK","Major OK","Fairview city, OK",2579,1 
"40","25250","40081","OK","Lincoln OK","Fallis town, OK",27,1 
