CBSA Code,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,CBSA Title,CBSA First Listed City,If
19760,Micropolitan Statistical Area,DeRidder,22,20610,"DeRidder, LA",DeRidder,1
19780,Metropolitan Statistical Area,Des Moines,19,21000,"Des Moines-West Des Moines, IA",Des Moines,1
19780,Metropolitan Statistical Area,West Des Moines,19,83910,"Des Moines-West Des Moines, IA",Des Moines,0
19820,Metropolitan Statistical Area,Dearborn,26,21000,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Detroit,26,22000,"Detroit-Warren-Dearborn, MI",Detroit,1
19820,Metropolitan Statistical Area,Farmington Hills,26,27440,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Livonia,26,49000,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Novi,26,59440,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Pontiac,26,65440,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Southfield,26,74900,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Taylor,26,79000,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Troy,26,80700,"Detroit-Warren-Dearborn, MI",Detroit,0
19820,Metropolitan Statistical Area,Warren,26,84000,"Detroit-Warren-Dearborn, MI",Detroit,0
19860,Micropolitan Statistical Area,Dickinson,38,19620,"Dickinson, ND",Dickinson,1
19940,Micropolitan Statistical Area,Dixon,17,20162,"Dixon, IL",Dixon,1
19980,Micropolitan Statistical Area,Dodge City,20,18250,"Dodge City, KS",Dodge City,1
20020,Metropolitan Statistical Area,Dothan,01,21184,"Dothan, AL",Dothan,1
20060,Micropolitan Statistical Area,Douglas,13,23872,"Douglas, GA",Douglas,1
20100,Metropolitan Statistical Area,Dover,10,21200,"Dover, DE",Dover,1
20140,Micropolitan Statistical Area,Dublin,13,24376,"Dublin, GA",Dublin,1
20180,Micropolitan Statistical Area,DuBois,42,20136,"DuBois, PA",DuBois,1
20220,Metropolitan Statistical Area,Dubuque,19,22395,"Dubuque, IA",Dubuque,1
20260,Metropolitan Statistical Area,Duluth,27,17000,"Duluth, MN-WI",Duluth,1
20300,Micropolitan Statistical Area,Dumas,48,21556,"Dumas, TX",Dumas,1
20340,Micropolitan Statistical Area,Duncan,40,21900,"Duncan, OK",Duncan,1
20420,Micropolitan Statistical Area,Durango,08,22035,"Durango, CO",Durango,1
20460,Micropolitan Statistical Area,Durant,40,22050,"Durant, OK",Durant,1
20500,Metropolitan Statistical Area,Chapel Hill,37,11800,"Durham-Chapel Hill, NC",Durham,0
20500,Metropolitan Statistical Area,Durham,37,19000,"Durham-Chapel Hill, NC",Durham,1
20540,Micropolitan Statistical Area,Dyersburg,47,22200,"Dyersburg, TN",Dyersburg,1
20580,Micropolitan Statistical Area,Eagle Pass,48,21892,"Eagle Pass, TX",Eagle Pass,1
20660,Micropolitan Statistical Area,Easton,24,24475,"Easton, MD",Easton,1
20700,Metropolitan Statistical Area,East Stroudsburg,42,21872,"East Stroudsburg, PA",East Stroudsburg,1
20740,Metropolitan Statistical Area,Eau Claire,55,22300,"Eau Claire, WI",Eau Claire,1
20780,Micropolitan Statistical Area,Edwards,08,23300,"Edwards, CO",Edwards,1
20820,Micropolitan Statistical Area,Effingham,17,22736,"Effingham, IL",Effingham,1
20900,Micropolitan Statistical Area,El Campo,48,22864,"El Campo, TX",El Campo,1
20940,Metropolitan Statistical Area,El Centro,06,21782,"El Centro, CA",El Centro,1
20980,Micropolitan Statistical Area,El Dorado,05,21070,"El Dorado, AR",El Dorado,1
